Date,Instrument,Price Close
2022-05-25,.SPX,3978.73
2022-05-26,.SPX,4057.84
2022-05-27,.SPX,4158.24
2022-05-30,.SPX,4158.24
2022-05-31,.SPX,4132.15
2022-06-01,.SPX,4101.23
2022-06-02,.SPX,4176.82
2022-06-03,.SPX,4108.54
2022-06-06,.SPX,4121.43
2022-06-07,.SPX,4160.68
2022-06-08,.SPX,4115.77
2022-06-09,.SPX,4017.82
2022-06-10,.SPX,3900.86
2022-06-13,.SPX,3749.63
2022-06-14,.SPX,3735.48
2022-06-15,.SPX,3789.99
2022-06-16,.SPX,3666.77
2022-06-17,.SPX,3674.84
2022-06-20,.SPX,3674.84
2022-06-21,.SPX,3764.79
2022-06-22,.SPX,3759.89
2022-06-23,.SPX,3795.73
2022-06-24,.SPX,3911.74
2022-06-27,.SPX,3900.11
2022-06-28,.SPX,3821.55
2022-06-29,.SPX,3818.83
2022-06-30,.SPX,3785.38
2022-07-01,.SPX,3825.33
2022-07-04,.SPX,3825.33
2022-07-05,.SPX,3831.39
2022-07-06,.SPX,3845.08
2022-07-07,.SPX,3902.62
2022-07-08,.SPX,3899.38
2022-07-11,.SPX,3854.43
2022-07-12,.SPX,3818.8
2022-07-13,.SPX,3801.78
2022-07-14,.SPX,3790.38
2022-07-15,.SPX,3863.16
2022-07-18,.SPX,3830.85
2022-07-19,.SPX,3936.69
2022-07-20,.SPX,3959.9
2022-07-21,.SPX,3998.95
2022-07-22,.SPX,3961.63
2022-07-25,.SPX,3966.84
2022-07-26,.SPX,3921.05
2022-07-27,.SPX,4023.61
2022-07-28,.SPX,4072.43
2022-07-29,.SPX,4130.29
2022-08-01,.SPX,4118.63
2022-08-02,.SPX,4091.19
2022-08-03,.SPX,4155.17
2022-08-04,.SPX,4151.94
2022-08-05,.SPX,4145.19
2022-08-08,.SPX,4140.06
2022-08-09,.SPX,4122.47
2022-08-10,.SPX,4210.24
2022-08-11,.SPX,4207.27
2022-08-12,.SPX,4280.15
2022-08-15,.SPX,4297.14
2022-08-16,.SPX,4305.2
2022-08-17,.SPX,4274.04
2022-08-18,.SPX,4283.74
2022-08-19,.SPX,4228.48
2022-08-22,.SPX,4137.99
2022-08-23,.SPX,4128.73
2022-08-24,.SPX,4140.77
2022-08-25,.SPX,4199.12
2022-08-26,.SPX,4057.66
2022-08-29,.SPX,4030.61
2022-08-30,.SPX,3986.16
2022-08-31,.SPX,3955.0
2022-09-01,.SPX,3966.85
2022-09-02,.SPX,3924.26
2022-09-05,.SPX,3924.26
2022-09-06,.SPX,3908.19
2022-09-07,.SPX,3979.87
2022-09-08,.SPX,4006.18
2022-09-09,.SPX,4067.36
2022-09-12,.SPX,4110.41
2022-09-13,.SPX,3932.69
2022-09-14,.SPX,3946.01
2022-09-15,.SPX,3901.35
2022-09-16,.SPX,3873.33
2022-09-19,.SPX,3899.89
2022-09-20,.SPX,3855.93
2022-09-21,.SPX,3789.93
2022-09-22,.SPX,3757.99
2022-09-23,.SPX,3693.23
2022-09-26,.SPX,3655.04
2022-09-27,.SPX,3647.29
2022-09-28,.SPX,3719.04
2022-09-29,.SPX,3640.47
2022-09-30,.SPX,3585.62
2022-10-03,.SPX,3678.43
2022-10-04,.SPX,3790.93
2022-10-05,.SPX,3783.28
2022-10-06,.SPX,3744.52
2022-10-07,.SPX,3639.66
2022-10-10,.SPX,3612.39
2022-10-11,.SPX,3588.84
2022-10-12,.SPX,3577.03
2022-10-13,.SPX,3669.91
2022-10-14,.SPX,3583.07
2022-10-17,.SPX,3677.95
2022-10-18,.SPX,3719.98
2022-10-19,.SPX,3695.16
2022-10-20,.SPX,3665.78
2022-10-21,.SPX,3752.75
2022-10-24,.SPX,3797.34
2022-10-25,.SPX,3859.11
2022-10-26,.SPX,3830.6
2022-10-27,.SPX,3807.3
2022-10-28,.SPX,3901.06
2022-10-31,.SPX,3871.98
2022-11-01,.SPX,3856.1
2022-11-02,.SPX,3759.69
2022-11-03,.SPX,3719.89
2022-11-04,.SPX,3770.55
2022-11-07,.SPX,3806.8
2022-11-08,.SPX,3828.11
2022-11-09,.SPX,3748.57
2022-11-10,.SPX,3956.37
2022-11-11,.SPX,3992.93
2022-11-14,.SPX,3957.25
2022-11-15,.SPX,3991.73
2022-11-16,.SPX,3958.79
2022-11-17,.SPX,3946.56
2022-11-18,.SPX,3965.34
2022-11-21,.SPX,3949.94
2022-11-22,.SPX,4003.58
2022-11-23,.SPX,4027.26
2022-11-23,.SPX,4027.26
2022-11-25,.SPX,4026.12
2022-11-28,.SPX,3963.94
2022-11-29,.SPX,3957.63
2022-11-30,.SPX,4080.11
2022-12-01,.SPX,4076.57
2022-12-02,.SPX,4071.7
2022-12-05,.SPX,3998.84
2022-12-06,.SPX,3941.26
2022-12-07,.SPX,3933.92
2022-12-08,.SPX,3963.51
2022-12-09,.SPX,3934.38
2022-12-12,.SPX,3990.56
2022-12-13,.SPX,4019.65
2022-12-14,.SPX,3995.32
2022-12-15,.SPX,3895.75
2022-12-16,.SPX,3852.36
2022-12-19,.SPX,3817.66
2022-12-20,.SPX,3821.62
2022-12-21,.SPX,3878.44
2022-12-22,.SPX,3822.39
2022-12-23,.SPX,3844.82
2022-12-23,.SPX,3844.82
2022-12-27,.SPX,3829.25
2022-12-28,.SPX,3783.22
2022-12-29,.SPX,3849.28
2022-12-30,.SPX,3839.5
2022-12-30,.SPX,3839.5
2023-01-03,.SPX,3824.14
2023-01-04,.SPX,3852.97
2023-01-05,.SPX,3808.1
2023-01-06,.SPX,3895.08
2023-01-09,.SPX,3892.09
2023-01-10,.SPX,3919.25
2023-01-11,.SPX,3969.61
2023-01-12,.SPX,3983.17
2023-01-13,.SPX,3999.09
2023-01-13,.SPX,3999.09
2023-01-17,.SPX,3990.97
2023-01-18,.SPX,3928.86
2023-01-19,.SPX,3898.85
2023-01-20,.SPX,3972.61
2023-01-23,.SPX,4019.81
2023-01-24,.SPX,4016.95
2023-01-25,.SPX,4016.22
2023-01-26,.SPX,4060.43
2023-01-27,.SPX,4070.56
